imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',The Avenging Conscience: or 'Thou Shalt Not Kill',1914,8/24/1914,"Crime, Drama, Horror",78,USA,English,D.W. Griffith,"Edgar Allan Poe, D.W. Griffith",Majestic Motion Picture Company,"Henry B. Walthall, Spottiswoode Aitken, Blanche Sweet, George Siegmann, Ralph Lewis, Mae Marsh, Robert Harron, George Beranger","Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder.",6.5,1050,,,,,14,11
tt0003657,The Bargain,The Bargain,1914,12/3/1914,Western,70,USA,English,Reginald Barker,"William H. Clifford, Thomas H. Ince",New York Motion Picture,"William S. Hart, J. Frank Burke, Clara Williams, J. Barney Sherry, Joseph J. Dowling","After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch, he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ...",6.6,121,,,,,8,3
tt0003740,Cabiria,Cabiria,1914,1914,"Adventure, Drama, History",148,Italy,Italian,Giovanni Pastrone,"Gabriele D'Annunzio, Titus Livius",Itala Film,"Carolina Catena, Lidia Quaranta, Gina Marangoni, Dante Testa, Umberto Mozzato, Bartolomeo Pagano, Raffaele di Napoli, Emilio Vardannes, Edoardo Davesnes, Italia Almirante-Manzini, Alex Bernard, Luigi Chellini, Vitale Di Stefano, Enrico Gemelli, Ignazio Lupi","Three centuries before Christus. Young Cabiria is kidnapped by some pirates during one eruption of the Etna. She is sold as a slave in Carthage, and as she is just going to be sacrificed to...",7.1,2838,"$210,000 ",,,,29,26
tt0003772,Cinderella,Cinderella,1914,12/28/1914,"Fantasy, Drama",52,USA,English,James Kirkwood,Charles Perrault,Famous Players Film Company,"Mary Pickford, Owen Moore, Isabel Vernon, Georgia Wilson, Lucille Carney, W.N. Cone, Inez Ranous","Though mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother.",6.1,908,,,,,10,3
tt0003883,L'enfant de Paris,L'enfant de Paris,1913,9/17/1913,"Crime, Drama",100,France,French,Léonce Perret,Léonce Perret,Société des Etablissements L. Gaumont,"Léonce Perret, Louis Leubas, Maurice Lagrenée, Émile Keppens, Marc Gérard, Henri Duval, Marie Dorly, Suzanne Le Bret, Jeanne Marie-Laurent, Adrien Petit, Suzanne Privat","The young daughter of an army captain missing in action runs away from school and is kidnapped by Parisian lowlifes. When the kidnapper flees to Nice with the child, the kind-hearted employee of one of his accomplices sets off in pursuit.",7.6,279,,,,,7,4
tt0003930,Fantômas contre Fantômas,Fantômas contre Fantômas,1914,1/10/1914,"Crime, Drama",59,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Société des Etablissements L. Gaumont,"René Navarre, Georges Melchior, Laurent Morléas, Renée Carl, Jane Faber, Yvette Andréyor, Edmund Breon, Naudier","The mystery of the drama is the appearance of the finger-print of a dead artist upon the neck of Princess Sonia Danidoff, whom Fantomas, as Nanteuil, relieves of her pearl necklace, and ...",7,1112,,,,,5,17
tt0003952,Le faux magistrat,Le faux magistrat,1914,4/27/1914,"Crime, Drama",70,France,French,Louis Feuillade,"Marcel Allain, Louis Feuillade",Société des Etablissements L. Gaumont,"René Navarre, Edmund Breon, Georges Melchior, Mesnery, Laurent Morléas, Jean-François Martial, Germaine Pelisse, Suzanne Le Bret, Jane Faber, Renée Carl","Having committed murder in Belgium, Fantomas is sentenced to life imprisonment. Two crimes committed in France suggest to inspector Juve that the Fantomas gang is still at work. He ...",6.9,885,,,,,5,17
tt0003973,A Florida Enchantment,A Florida Enchantment,1914,9/4/1916,Comedy,63,USA,English,Sidney Drew,"Marguerite Bertsch, Archibald Clavering Gunter",Vitagraph Company of America,"Sidney Drew, Edith Storey, Charles Kent, Mrs. Sidney Drew, Ada Gifford, Ethel Lloyd, Lillian Burns, Grace Stevens, Allan Campbell, Cortland Van Deusen, Frank O'Neil","A young woman discovers a seed that can make women act like men and men act like women. She decides to take one, then slips one to her maid and another to her fiancé. The fun begins.",5.9,181,,,,,6,3
tt0004026,Der Golem,Der Golem,1915,4/8/1915,Horror,60,Germany,German,"Henrik Galeen, Paul Wegener","Henrik Galeen, Paul Wegener",Deutsche Bioscop GmbH,"Paul Wegener, Henrik Galeen, Lyda Salmonova, Rudolf Blümner, Robert A. Dietrich, Carl Ebert, Jakob Tiedtke","In this version of the golem legend, the golem, a clay statue brought to life by Rabbi Loew in 16th century Prague to save the Jews from the ongoing brutal persecution by the city's rulers,...",6.8,1008,,,,,5,
tt0004066,Det hemmelighedsfulde X,Det hemmelighedsfulde X,1914,3/23/1914,"Drama, Mystery",84,Denmark,Danish,Benjamin Christensen,"Benjamin Christensen, Laurids Skands",Dansk Biograf Compagni,"Benjamin Christensen, Karen Caspersen, Otto Reinwald, Fritz Lamprecht, Amanda Lund, Hermann Spiro, Bjørn Spiro, Holger Bjerre, Otto Lagoni, Charles Løwaas, Holger Rasmussen, Svend Rindom, Robert Schmidt, Finn Wennerwald","On the brink of war, Lt. van Hauen is summoned to take command of the cruiser, but due to unforeseen events, he is wrongfully convicted as a traitor.",7,449,,,,,7,4
tt0004099,"His Majesty, the Scarecrow of Oz","His Majesty, the Scarecrow of Oz",1914,10/14/1914,"Family, Fantasy, Adventure",59,USA,English,J. Farrell MacDonald,"L. Frank Baum, L. Frank Baum",The Oz Film Manufacturing Company,"Violet MacMillan, Frank Moore, Pierre Couderc, Fred Woodward, Raymond Russell, Arthur Smollet, J. Charles Haydon, Todd Wright, Vivian Reed, Mai Wells, Mildred Harris, Louise Emmons, Jacqueline Lovell","A wicked king has taken over the Emerald City, and wants his daughter, Princess Gloria, to marry the horrid courtier Googly-Goo, though she loves Pon, the Gardener's Boy. The camera now ...",5.2,398,"$23,500 ",,,,11,7
tt0004134,Hypocrites,Hypocrites,1915,1/20/1915,Drama,54,USA,English,Lois Weber,Lois Weber,Hobart Bosworth Productions,"Courtenay Foote, Myrtle Stedman, Herbert Standing, Adele Farrington","The parallel stories of a modern preacher and a medieval monk, Gabriel the Ascetic, who is killed by an ignorant mob for making a nude statue representing Truth, which is also represented by a ghostly naked girl who flits throughout the film.",6.6,429,,,,,41,8
tt0004150,In the Land of the Head Hunters,In the Land of the Head Hunters,1914,12/7/1914,"Drama, History",65,USA,English,Edward S. Curtis,Edward S. Curtis,Seattle Film Co.,"Stanley Hunt, Sarah Constance Smith Hunt, Mrs. George Walkus, Paddy 'Malid, Balutsa, Kwagwanu, Francine Hunt, Bob Wilson, Awidi, Alfred Charlie","In 1911, as part of his massive undertaking, famed Northwest photographer Edward S. Curtis travelled to Vancouver Island, British Columbia, to visit the Kwakwaka'wakw. By the next year, ...",5.9,378,,,,,8,11
tt0004181,Judith of Bethulia,Judith of Bethulia,1914,3/8/1914,Drama,61,USA,English,D.W. Griffith,"Thomas Bailey Aldrich, D.W. Griffith",Biograph Company,"Blanche Sweet, Henry B. Walthall, Mae Marsh, Robert Harron, Kate Bruce, Lillian Gish, J. Jiquel Lanoe, Gertrude Bambrick, Dorothy Gish, Harry Carey","A religious woman seeks to save her people from destruction by seducing and murdering the enemy leader, but her plans get complicated once she falls for him.",6.1,1195,"$40,000 ",,,,16,8
tt0004457,The Patchwork Girl of Oz,The Patchwork Girl of Oz,1914,9/28/1914,"Adventure, Family, Fantasy",81,USA,English,J. Farrell MacDonald,"L. Frank Baum, L. Frank Baum",The Oz Film Manufacturing Company,"Violet MacMillan, Frank Moore, Raymond Russell, Leontine Dranet, Bobbie Gould, Marie Wayne, Richard Rosson, Frank Bristol, Fred Woodward, Todd Wright, Bert Glennon, Hal Roach, Dave Anderson, Jessie May Walsh, William Cook","Ojo and Unc Nunkie are out of food, so they decide to journey to the Emerald City where they will never starve. Along the way, they meet Mewel, a waif and stray (mule) who leads them to Dr....",5.5,354,,,,,16,4
tt0004465,The Perils of Pauline,The Perils of Pauline,1914,3/23/1914,"Action, Adventure, Drama",199,USA,English,"Louis J. Gasnier, Donald MacKenzie","Charles W. Goddard, Basil Dickey",Pathé Frères,"Pearl White, Crane Wilbur, Paul Panzer, Edward José, Francis Carlyle, Clifford Bruce, Donald MacKenzie, Jack Standing, Eleanor Woodruff, Leroy Baker, Louise Du Pre, Oscar Nye, Sam J. Ryan, Louis J. Gasnier, Joe Cuny","Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncle's secretary has been named as her guardian until she marries, at which time she will officially take ...",6.4,921,"$25,000 ",,,,5,7
tt0004635,The Squaw Man,The Squaw Man,1914,2/15/1914,"Action, Drama, Romance",74,USA,English,"Oscar Apfel, Cecil B. DeMille","Edwin Milton Royle, Cecil B. DeMille",Jesse L. Lasky Feature Play Company,"Dustin Farnum, Monroe Salisbury, Winifred Kingston, Mrs. A.W. Filson, Haidee Fuller, Red Wing, Foster Knox, Fred Montague, 'Baby' Carmen De Rue, Fernando Gálvez, Eugene De Rue, H.R. Macy, H.L. Swisher, Michael J. Kilpatrick, Sydney Deane",A chivalrous British officer takes the blame for his cousin's embezzlement and journeys to the American West to start a new life on a cattle ranch.,5.8,802,"$20,000 ",,,,8,3
tt0004681,Tess of the Storm Country,Tess of the Storm Country,1914,3/30/1914,Drama,80,USA,English,Edwin S. Porter,"Grace Miller White, B.P. Schulberg",Famous Players Film Company,"Mary Pickford, Harold Lockwood, Olive Carey, David Hartford, Louise Dunlap, William Walters, Richard Garrick, Eugene Walter, Jack Henry, H.R. Macy, H.L. Griffith","A wealthy resident attempts to dispossess squatters who live near his home, which leads to a false accusation of murder.",6.3,154,"$10,000 ",,,,5,3
tt0004707,Tillie's Punctured Romance,Tillie's Punctured Romance,1914,12/21/1914,Comedy,82,USA,English,"Mack Sennett, Charles Bennett",,Keystone Film Company,"Marie Dressler, Charles Chaplin, Mabel Normand, Mack Swain, Charles Bennett, Chester Conklin",A con man from the city dupes a wealthy country girl into marriage.,6.3,3164,"$50,000 ",,,,37,18
tt0004712,A tolonc,A tolonc,1915,3/20/1915,Drama,67,Hungary,Hungarian,Michael Curtiz,"Jenö Janovics, Ede Tóth",ProJa Filmgyár,"Lili Berky, Victor Varconi, Mari Jászai, Andor Szakács, Gyula Nagy, Marcsa Simon, István Szentgyörgyi, Alajos Mészáros, Kató Berky, Elemér Hetényi, Zoltán Gálosi, Endre Kertész, Fülöp Erdõs, Adorján Nagy, Mihály Fekete","Betty (Lili Berky, Duel For Nothing), a young woman living in the country, is told by her dying father that he is really her uncle and raised her as his own when her mother was sent to ...",6.3,157,,,,,1,9
tt0004766,The Virginian,The Virginian,1914,9/7/1914,Western,55,USA,English,Cecil B. DeMille,"Owen Wister, Kirk La Shelle",Jesse L. Lasky Feature Play Company,"Dustin Farnum, Jack W. Johnston, Sydney Deane, William Elmer, Winifred Kingston, James Griswold, Horace B. Carpenter, Tex Driscoll","A good-natured but chivalrous cowboy romances the local schoolmarm and leads the posse that brings a gang of rustlers, which includes his best friend, to justice.",5.6,160,"$17,022 ",,,,12,
tt0004825,The Wishing Ring: An Idyll of Old England,The Wishing Ring: An Idyll of Old England,1914,11/9/1914,"Comedy, Drama",54,USA,English,Maurice Tourneur,"Owen Davis, Maurice Tourneur",Shubert Film Corporation,"Vivian Martin, Alec B. Francis, Chester Barnett, Gyp Williams, Simeon Wiltsie, Walter Morton, Johnny Hines","After being expelled from college, Giles runs away from home and meets a young lady who he falls for.",6.6,209,,,,,5,2
tt0004838,The Wrath of the Gods,The Wrath of the Gods,1914,6/8/1914,"Drama, Romance",56,USA,English,Reginald Barker,"William H. Clifford, Thomas H. Ince",New York Motion Picture,"Sessue Hayakawa, Tsuru Aoki, Frank Borzage, Kisaburô Kurihara, Henry Kotani, Gladys Brockwell, Herschel Mayall",An American sailor falls in love with a fisherman's daughter and convinces her that Jesus is more powerful than the gods who have cursed her.,5.7,130,,,,,5,2
tt0004872,Alias Jimmy Valentine,Alias Jimmy Valentine,1915,2/22/1915,"Crime, Drama",50,USA,English,Maurice Tourneur,"Paul Armstrong, O. Henry",Peerless Productions,"Robert Warwick, Robert Cummings, Alec B. Francis, Frederick Truesdell, Ruth Shepley, Johnny Hines, D.J. Flanagan, Walter Craven, John Boone, George Cummings, Thomas Mott Osborne","After robbing a bank, a criminal is wrongfully pardoned from prison.",6.7,196,,,,,4,3
tt0004873,Alice in Wonderland,Alice in Wonderland,1915,1/19/1915,"Adventure, Family, Fantasy",52,USA,English,W.W. Young,"Lewis Carroll, W.W. Young",Nonpareil Feature Film Corp.,"Viola Savoy, Herbert Rice, Harry Marks, Louis Merkle, William Tilden",Alice goes with her sister to a picnic and then she falls asleep and starts dreaming about a wonderland full of talking animals and walking playing cards.,6.2,347,"$50,000 ",,,,9,8
tt0004972,The Birth of a Nation,The Birth of a Nation,1915,3/21/1915,"Drama, History, War",195,USA,,D.W. Griffith,"Thomas Dixon Jr., Thomas Dixon Jr.",David W. Griffith Corp.,"Henry B. Walthall, Lillian Gish, Mae Marsh, Miriam Cooper, Mary Alden, Ralph Lewis, George Siegmann, Walter Long, Robert Harron, Wallace Reid, Joseph Henabery, Elmer Clifton, Josephine Crowell, Spottiswoode Aitken, George Beranger","The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",6.4,20885,"$100,000 ",,,,353,94
tt0005060,Carmen,Carmen,1915,10/31/1915,Drama,59,USA,English,Cecil B. DeMille,"Prosper Mérimée, William C. de Mille",Jesse L. Lasky Feature Play Company,"Geraldine Farrar, Wallace Reid, Pedro de Cordoba, Horace B. Carpenter, William Elmer, Jeanie Macpherson, Anita King, Milton Brown, Tex Driscoll","In order to help her smuggler kinsmen, a sultry gypsy seduces and corrupts an officer of the Civil Guard turning him into a traitor and murderer.",6.4,859,"$23,430 ",,,,19,6
tt0005078,The Cheat,The Cheat,1915,12/13/1915,"Drama, Romance",59,USA,English,Cecil B. DeMille,"Hector Turnbull, Jeanie Macpherson",Jesse L. Lasky Feature Play Company,"Fannie Ward, Sessue Hayakawa, Jack Dean, James Neill, Yutaka Abe, Dana Ong, Hazel Childers, Arthur H. Williams","A venal, spoiled stockbroker's wife impulsively embezzles $10,000 from the charity she chairs and desperately turns to a Burmese ivory trader to replace the stolen money.",6.6,2217,"$17,311 ",,,,38,19
tt0005149,The Coward,The Coward,1915,11/14/1915,"Drama, History, War",77,USA,English,"Reginald Barker, Thomas H. Ince","Thomas H. Ince, Thomas H. Ince",Kay-Bee Pictures,"Frank Keenan, Charles Ray, Gertrude Claire, Patricia Palmer, Nick Cogley, Charles K. French, Minnie Devereaux","Confederate soldier Frank Winslow is terrified of the war and eventually runs away from battle. But when he finds himself behind enemy lines with vital information, he must decide between ...",6.1,218,"$18,000 ",,,,15,3
tt0005339,A Fool There Was,A Fool There Was,1915,1/12/1915,Drama,67,USA,English,Frank Powell,Porter Emerson Browne,Fox Film Corporation,"Runa Hodges, Mabel Frenyear, Edward José, May Allison, Clifford Bruce, Theda Bara, Victor Benoit, Frank Powell, Minna Gale, Creighton Hale",A married diplomat falls hopelessly under the spell of a predatory woman.,5.8,728,,,,,19,14
tt0005402,The Golden Chance,The Golden Chance,1915,12/30/1915,Drama,74,USA,English,Cecil B. DeMille,"Cecil B. DeMille, Jeanie Macpherson",Jesse L. Lasky Feature Play Company,"Cleo Ridgely, Wallace Reid, Horace B. Carpenter, Ernest Joy, Edythe Chapman, Raymond Hatton, William Elmer, Mrs. Lewis McCord",Mary Denby becomes a seamstress after her husband Steve wastes their money on booze. Her employer provides her as an escort to accompany millionaire Roger Manning. Her husband tries ...,6.5,172,"$18,711 ",,,,10,1
tt0005529,Hævnens Nat,Hævnens Nat,1916,9/25/1916,"Crime, Drama, Horror",100,Denmark,,Benjamin Christensen,Benjamin Christensen,Dansk Biograf Compagni,"Benjamin Christensen, Karen Caspersen, Peter Fjelstrup, Charles Wilken, Ulla Johansen, Jon Iversen, Aage Schmidt, Mathilde Nielsen, Carl Gottschalksen, Grethe Brandes, Elith Pio, Fritz Lamprecht, Osvald Helmuth, Otto Reinwald, Jørgen Lund","A criminal escapes from prison, however a betrayal leads to his second arrest.",6.9,242,,,,,6,2
tt0005557,The Italian,The Italian,1915,1/1/1915,Drama,78,USA,English,Reginald Barker,"Thomas H. Ince, C. Gardner Sullivan",New York Motion Picture,"George Beban, Clara Williams, J. Frank Burke, Leo Willis, Fanny Midgley",An immigrant leaves his sweetheart in Italy to find a better life across the sea in the grimy slums of New York. They are eventually reunited and marry. But life in New York is hard and ...,6.6,270,,,,,11,3
tt0005719,Martyrs of the Alamo,Martyrs of the Alamo,1915,11/21/1915,"Drama, History, War",71,USA,English,Christy Cabanne,"Christy Cabanne, Theodosia Harris",Fine Arts Film Company,"Sam De Grasse, Allan Sears, Walter Long, Alfred Paget, Fred Burns, John T. Dillon, Juanita Hansen, Ora Carew, Tom Wilson, Augustus Carney",The story of the defense of the mission-turned-fortress by 185 Texans against an overwhelming Mexican army in 1836.,5.7,124,,,,,5,1
tt0005809,The Nigger,The Nigger,1915,3/29/1915,Drama,50,USA,English,Edgar Lewis,"Edgar Lewis, Edward Sheldon",Fox Film Corporation,"William Farnum, Claire Whitney, George De Carlton, Henry Armetta",,6.1,300,,,,,,
